,budget,country,genre,gross,rating,score,votes,ROI,star_names,studio_names
255,11000000.0,USA,Comedy,91258000.0,PG,6.6,23212,1,Not-Famous,Low-Studio
256,100000000.0,USA,Action,180011740.0,PG,5.7,190180,1,Not-Famous,Low-Studio
257,11000000.0,USA,Comedy,90559416.0,PG,4.6,47711,1,Not-Famous,Low-Studio
258,12000000.0,USA,Comedy,91547205.0,PG,6.6,37155,1,Not-Famous,Low-Studio
259,17000000.0,non-USA,Others,96522687.0,PG,7.6,292079,1,Not-Famous,Low-Studio
260,26000000.0,USA,Comedy,105489203.0,PG,6.2,34800,1,Not-Famous,Low-Studio
261,11000000.0,USA,Comedy,90485233.0,PG,4.3,10095,1,Not-Famous,Low-Studio
262,16400000.0,USA,Comedy,95860116.0,PG,8.0,302412,1,Not-Famous,Low-Studio
263,12000000.0,USA,Others,91443253.0,PG,5.8,22571,1,Not-Famous,Low-Studio
264,9900000.0,USA,Others,89210468.0,R,7.2,139941,1,Not-Famous,Low-Studio
265,160000000.0,USA,Action,238679850.0,PG,7.1,326084,1,Not-Famous,Low-Studio
266,19000000.0,USA,Others,97661826.0,R,6.2,133845,1,Not-Famous,Low-Studio
267,5000000.0,USA,Others,83586447.0,PG,6.6,123717,1,Not-Famous,Low-Studio
268,258000000.0,USA,Action,336530303.0,PG,6.2,418210,1,Not-Famous,Low-Studio
269,40000000.0,USA,Others,118500000.0,PG,7.8,378600,1,Not-Famous,Low-Studio
270,30000000.0,USA,Others,108385533.0,PG,6.3,172837,1,Not-Famous,Low-Studio
271,11000000.0,USA,Comedy,89325780.0,PG,6.5,58835,1,Not-Famous,Low-Studio
272,13000000.0,USA,Drama,91057006.0,PG,6.2,50875,1,Not-Famous,Low-Studio
273,50000000.0,USA,Others,128002372.0,PG,6.0,112984,1,Not-Famous,Low-Studio
274,150000000.0,USA,Action,227946274.0,PG,6.4,376228,1,Not-Famous,Low-Studio
275,50000000.0,USA,Action,127440871.0,PG,6.3,107177,1,Not-Famous,Low-Studio
276,24000000.0,USA,Others,101363301.0,R,6.1,133798,1,Not-Famous,Low-Studio
277,50000000.0,USA,Comedy,127352707.0,PG,6.3,143141,1,Not-Famous,Low-Studio
278,14000000.0,non-USA,Others,91125683.0,PG,8.0,549783,1,Not-Famous,Low-Studio
279,50000000.0,USA,Others,127004179.0,PG,7.0,305115,1,Not-Famous,Low-Studio
280,16000000.0,USA,Comedy,92823600.0,R,7.6,161894,1,Not-Famous,Low-Studio
281,11700000.0,USA,Drama,88036683.0,R,6.6,31956,1,Not-Famous,Low-Studio
282,50000000.0,USA,Comedy,126293452.0,PG,5.8,118513,1,Not-Famous,Low-Studio
283,82000000.0,USA,Comedy,158119460.0,PG,6.4,140482,1,Not-Famous,Low-Studio
284,48000000.0,USA,Others,124115725.0,R,7.6,178463,1,Not-Famous,Low-Studio
285,11000000.0,USA,Comedy,86888546.0,R,6.8,40797,1,Not-Famous,Low-Studio
286,41000000.0,USA,Drama,116724075.0,R,7.0,205883,1,Not-Famous,Low-Studio
287,72500000.0,USA,Action,148213377.0,PG,6.6,140740,1,Not-Famous,Low-Studio
288,37000000.0,USA,Action,112494738.0,PG,6.5,153223,1,Not-Famous,Low-Studio
289,25000000.0,USA,Comedy,100317794.0,R,7.2,187621,1,Not-Famous,Low-Studio
290,80000000.0,USA,Action,155247825.0,PG,7.0,342026,1,Not-Famous,Low-Studio
291,35000000.0,non-USA,Comedy,110212700.0,R,6.3,110659,1,Not-Famous,Low-Studio
